location,size,total_sqft,bath,price,enc_loc
Electronic City Phase II,2,1056.0,2,39.07,71
Chikka Tirupathi,4,2600.0,5,120.0,54
Uttarahalli,3,1440.0,2,62.0,205
Kothanur,2,1200.0,2,51.0,139
Marathahalli,3,1310.0,3,63.25,153
Whitefield,3,1800.0,2,70.0,213
7th Phase JP Nagar,2,1000.0,2,38.0,7
Gottigere,2,1100.0,2,40.0,77
Bisuvanahalli,3,1180.0,3,48.0,45
Raja Rajeshwari Nagar,3,1540.0,3,60.0,176
others,2,1100.0,2,48.0,219
Bellandur,3,1767.0,3,103.0,41
others,1,510.0,1,25.25,219
others,3,1250.0,3,56.0,219
Whitefield,3,1610.0,3,81.0,213
Ramagondanahalli,2,1151.0,2,48.77,179
Electronic City,3,1025.0,2,47.0,70
Kanakpura Road,2,700.0,2,36.0,120
Electronics City Phase 1,2,1070.0,2,45.5,72
Chikkalasandra,3,1290.0,2,56.12,56
Uttarahalli,2,1143.0,2,45.0,205
others,2,869.0,2,36.0,219
others,2,1270.0,2,50.0,219
Bhoganhalli,3,1670.0,3,99.0,43
Whitefield,3,2010.0,3,91.0,213
Yelahanka,3,1600.0,2,75.0,215
Begur Road,2,1200.0,2,44.0,40
Devanahalli,4,3210.0,2,192.0,62
others,2,840.0,2,45.0,219
others,3,4395.0,3,240.0,219
Varthur,2,1160.0,2,44.0,206
Doddathoguru,2,1100.0,2,62.0,66
Gunjur,2,1140.0,2,43.0,80
Marathahalli,2,1220.0,2,57.0,153
Kanakpura Road,2,1005.0,2,36.68,120
Begur Road,2,1358.0,2,80.58,40
Haralur Road,2,1240.0,2,70.0,84
Kothannur,2,1206.0,2,48.23,138
Kaval Byrasandra,2,460.0,1,22.0,126
ISRO Layout,6,4400.0,6,250.0,100
Yelahanka,2,1326.0,2,78.0,215
Garudachar Palya,3,1325.0,2,60.8,75
Kanakpura Road,3,1665.0,3,88.0,120
Dasanapura,2,708.0,2,37.0,60
Kasavanhalli,2,1060.0,2,58.06,123
others,3,1450.0,2,70.0,219
Domlur,3,1540.0,3,90.0,67
Sarjapura - Attibele Road,3,1330.0,2,48.0,186
others,2,1200.0,2,65.0,219
Yeshwanthpur,3,2502.0,3,138.0,218
others,2,1007.0,2,43.0,219
others,2,1200.0,2,50.0,219
others,2,966.0,2,49.9,219
Nagarbhavi,3,1630.0,2,98.0,161
Devanahalli,2,1260.0,2,66.78,62
others,3,1413.0,2,75.0,219
Whitefield,2,1116.0,2,51.91,213
Ramamurthy Nagar,4,3700.0,4,225.0,180
Sarjapur  Road,3,2497.0,3,140.0,185
Kengeri,3,1540.0,2,64.0,128
Thanisandra,3,1436.0,3,74.75,199
Shampura,4,2650.0,4,150.0,189
Devanahalli,3,1282.0,2,68.52,62
LB Shastri Nagar,3,1600.0,3,65.0,144
others,2,945.0,2,54.0,219
Hormavu,2,1500.0,2,78.0,94
others,3,1870.0,3,110.0,219
Sarjapur,3,1600.0,3,75.0,184
Kudlu Gate,3,1535.0,3,83.0,141
Kanakpura Road,2,950.0,2,57.0,120
Devanahalli,2,1360.0,2,65.0,62
8th Phase JP Nagar,2,1073.5,2,54.005,8
Bommasandra Industrial Area,3,1280.0,3,50.4,48
ISRO Layout,2,1000.0,2,60.0,100
Anandapura,2,1167.0,2,43.76,16
Kothanur,3,1828.0,3,110.0,139
Kengeri Satellite Town,2,890.0,2,35.0,129
Mysore Road,3,1710.0,4,91.31,158
Kannamangala,2,957.0,2,58.0,121
Hulimavu,2,1125.0,2,50.0,99
Kalena Agrahara,2,1200.0,2,50.0,114
others,3,1350.0,2,48.0,219
others,3,1425.0,2,75.0,219
Electronic City,3,1500.0,2,64.5,70
Electronic City,2,1060.0,2,60.0,70
others,3,1470.0,2,70.0,219
Electronic City,2,1152.0,2,64.5,70
Electronic City,3,1350.0,2,56.0,70
CV Raman Nagar,3,1550.0,3,65.0,51
Electronic City,2,770.0,1,36.0,70
Hulimavu,2,1242.0,2,51.0,99
Electronic City,2,1070.0,2,52.0,70
others,2,1340.0,2,55.7,219
Electronic City,2,1025.0,2,46.0,70
KR Puram,2,1277.5,2,56.8,108
Marathahalli,2,1200.0,2,52.0,153
Kanakpura Road,4,2250.0,4,110.0,120
others,3,1550.0,2,80.0,219
Marathahalli,2,1200.0,2,60.0,153
Kothanur,2,1186.0,2,58.0,139
HSR Layout,3,1400.0,3,56.0,83
Nagasandra,2,980.0,2,48.0,162
Whitefield,2,1225.0,2,47.6,213
Whitefield,2,1075.0,2,53.0,213
Kadugodi,3,1260.0,2,54.0,110
Yelahanka,3,1282.0,2,48.7,215
Kogilu,3,1909.0,3,88.0,135
others,2,1207.0,2,43.5,219
Kammasandra,3,1595.0,3,65.0,118
others,3,1798.0,3,89.0,219
Electronics City Phase 1,3,1475.0,3,78.29,72
Dasarahalli,2,1295.0,2,65.0,61
Magadi Road,6,3600.0,6,141.0,148
Electronic City,1,589.0,1,27.0,70
others,3,1415.0,3,78.0,219
Sarjapur  Road,3,1787.0,3,98.29,185
Koramangala,3,1475.0,2,90.0,137
others,4,2000.0,4,75.5,219
Sarjapur  Road,2,984.0,2,44.28,185
Devanahalli,3,1630.0,2,74.82,62
Budigere,2,1153.0,2,56.4,50
others,2,1148.0,2,60.0,219
others,2,1110.0,2,55.0,219
Electronic City,2,1100.0,2,42.0,70
others,3,1500.0,2,65.0,219
others,2,1080.0,2,39.0,219
Ramamurthy Nagar,5,3500.0,5,150.0,180
others,2,1060.0,2,60.0,219
others,3,1644.0,3,84.0,219
others,2,1285.0,2,72.5,219
Electronic City,2,910.0,2,40.0,70
Kothanur,3,1577.0,3,70.0,139
others,2,1060.0,2,55.0,219
others,2,1280.0,2,69.0,219
Electronic City,2,1108.0,2,63.0,70
others,3,3045.0,3,170.0,219
Vijayanagar,3,1500.0,3,75.5,209
Budigere,2,1162.0,2,59.9,50
Sarjapur  Road,2,1035.0,2,49.2,185
others,2,700.0,1,26.0,219
Kengeri Satellite Town,2,883.0,2,45.0,129
Kogilu,3,1664.0,2,73.95,135
others,4,4111.0,4,250.0,219
Kadugodi,3,1762.0,3,91.45,110
Jigani,3,1252.0,3,55.0,106
Gollarapalya Hosahalli,2,861.0,2,34.5,76
Electronics City Phase 1,3,1490.0,3,78.8,72
Bisuvanahalli,3,1075.0,2,46.0,45
Kaggadasapura,3,1280.0,2,56.0,111
others,2,1084.0,2,50.0,219
Kanakpura Road,2,1017.0,2,51.25,120
Haralur Road,2,1027.0,2,44.0,84
Electronic City Phase II,2,1069.0,2,45.0,71
9th Phase JP Nagar,2,1005.0,2,50.0,9
Jakkur,2,1417.0,2,75.0,103
others,2,950.0,2,47.0,219
others,4,2000.0,4,120.0,219
Sarjapur  Road,4,1863.0,3,104.0,185
Kalena Agrahara,3,1425.0,2,70.0,114
Kothanur,3,1847.0,3,105.0,139
AECS Layout,2,1100.0,2,45.0,10
Kanakpura Road,1,525.0,1,26.0,120
Mallasandra,3,1665.0,3,95.0,150
Begur,4,1664.0,4,65.0,39
Yelahanka,2,1350.0,2,55.55,215
Kanakpura Road,3,1550.0,3,67.0,120
Malleshpalya,2,1140.0,2,46.5,151
Whitefield,2,1280.0,2,75.0,213
Munnekollal,2,1170.0,2,52.0,156
others,2,1113.0,2,51.0,219
Hennur Road,2,1385.0,2,83.09,90
Electronic City,2,1128.0,2,65.0,70
Haralur Road,3,1464.0,3,56.0,84
others,2,1200.0,2,55.0,219
Kaval Byrasandra,2,1200.0,2,52.0,126
Kaggalipura,3,1150.0,2,55.0,112
others,3,1645.0,3,95.0,219
Whitefield,2,1173.0,2,58.0,213
Uttarahalli,2,1020.0,2,45.0,205
Somasundara Palya,3,1600.0,3,64.0,192
others,2,1230.0,2,48.0,219
Kalena Agrahara,2,1325.0,2,76.0,114
Kanakpura Road,1,525.0,2,21.53,120
Basaveshwara Nagar,2,1200.0,2,65.0,37
Bommasandra,3,1260.0,3,49.36,47
Ardendale,2,1100.0,2,43.25,20
Harlur,2,1508.0,2,77.0,85
others,3,1592.0,3,75.0,219
Akshaya Nagar,2,1388.0,2,57.0,12
Electronic City Phase II,1,630.0,1,28.35,71
others,2,950.0,2,50.0,219
Magadi Road,2,1116.0,2,50.0,148
Bannerghatta Road,1,500.0,1,18.5,35
Hennur,2,1075.0,2,52.0,89
Bellandur,2,1205.0,2,66.0,41
5th Phase JP Nagar,2,1075.0,2,60.0,5
KR Puram,2,930.0,2,39.0,108
Balagere,2,1380.0,2,60.0,26
Kodigehaali,2,1166.0,2,55.0,132
Begur Road,2,1200.0,2,46.8,40
Billekahalli,3,1935.0,3,110.0,44
Electronic City,3,1800.0,3,95.0,70
Jalahalli,3,1400.0,3,77.0,104
Begur Road,2,1160.0,2,44.0,40
Kanakpura Road,2,950.0,2,40.0,120
others,3,1629.0,3,79.0,219
Raja Rajeshwari Nagar,2,1145.0,2,45.79,176
Sompura,2,825.0,2,33.0,193
Electronics City Phase 1,2,1113.27,2,53.0,72
others,2,1460.0,2,58.0,219
Dodda Nekkundi,2,1260.0,2,55.0,63
Chandapura,3,1208.0,3,45.0,52
Battarahalli,2,1200.0,2,65.0,38
Kengeri,2,750.0,2,38.0,128
Kanakpura Road,3,1550.0,3,64.5,120
others,3,1760.0,3,88.0,219
Billekahalli,2,1125.0,2,62.0,44
Anandapura,2,1000.0,2,55.0,16
TC Palaya,2,1200.0,2,60.0,197
Budigere,3,1991.0,4,103.0,50
Chandapura,6,1533.0,5,85.0,52
Balagere,3,1590.0,3,79.0,26
CV Raman Nagar,2,1120.0,2,55.0,51
others,2,1069.0,2,55.0,219
Hosur Road,2,1194.0,2,69.0,98
Brookefield,2,1150.0,2,69.0,49
Yelenahalli,2,1240.0,2,47.12,217
others,3,1450.0,3,55.0,219
others,3,1630.0,3,68.29,219
Dasanapura,2,708.0,1,40.0,60
Whitefield,4,11890.0,4,700.0,213
Bellandur,2,1250.0,2,76.0,41
Ardendale,3,1750.0,3,100.0,20
Vittasandra,2,1404.0,2,71.0,212
Hoodi,3,1715.0,2,95.0,91
Electronic City,1,630.0,1,34.65,70
Hulimavu,3,1650.0,3,78.0,99
Raja Rajeshwari Nagar,2,1295.0,2,55.47,176
Sarjapur  Road,2,1346.0,2,74.03,185
Hormavu,2,1150.0,2,55.0,94
AECS Layout,3,1620.0,3,98.0,10
Marathahalli,2,950.0,2,46.96,153
Harlur,3,2450.0,3,120.0,85
Chikkalasandra,2,1100.0,2,50.0,56
Ambalipura,3,1800.0,3,110.0,13
Akshaya Nagar,2,1070.0,2,54.0,12
Amruthahalli,2,900.0,2,40.0,15
Whitefield,2,1130.0,2,42.16,213
others,2,1200.0,2,62.0,219
others,4,4800.0,4,235.0,219
Subramanyapura,2,929.0,2,50.17,195
others,3,1464.0,3,56.0,219
others,4,2000.0,4,99.0,219
Chikkalasandra,2,1208.0,2,49.0,56
Hebbal Kempapura,2,1130.0,2,60.0,87
5th Phase JP Nagar,2,1150.0,3,52.5,5
Electronic City,2,1128.0,2,63.0,70
others,2,1000.0,2,53.0,219
Yelahanka,2,1035.0,2,45.0,215
Whitefield,2,1040.0,2,48.5,213
others,3,1300.0,3,58.0,219
Hoodi,3,1545.0,3,68.75,91
Vidyaranyapura,2,1062.0,2,38.0,208
others,2,1115.0,2,40.0,219
Kambipura,2,883.0,2,45.0,116
Sarjapur  Road,2,1195.0,2,70.0,185
others,1,700.0,1,41.0,219
Vittasandra,2,1246.0,2,67.0,212
others,4,1600.0,4,80.0,219
Haralur Road,4,2805.0,5,154.0,84
Begur Road,3,1584.0,3,65.0,40
Hosur Road,3,1175.0,2,48.0,98
Whitefield,2,1150.0,2,70.0,213
KR Puram,2,1155.0,2,42.74,108
Thanisandra,4,3000.0,4,120.0,199
Ramagondanahalli,2,1251.0,2,47.0,179
others,2,1028.0,2,45.5,219
Arekere,2,1222.0,2,45.0,21
Bannerghatta Road,3,1170.0,2,66.0,35
HSR Layout,2,1372.0,2,68.0,83
Magadi Road,3,1282.0,2,49.0,148
Whitefield,3,1768.0,3,101.0,213
Whitefield,3,1500.0,3,61.95,213
Uttarahalli,2,1286.0,2,63.0,205
Kammanahalli,5,2845.0,5,140.0,117
Hennur Road,2,1317.5,2,63.77,90
Munnekollal,2,1102.0,2,53.67,156
Yelahanka,2,1350.0,2,54.0,215
others,2,1800.0,1,80.0,219
Chikkabanavar,2,950.0,2,40.0,55
Kanakpura Road,1,525.0,1,27.25,120
Attibele,2,656.0,2,25.0,22
Bannerghatta Road,1,595.0,1,33.32,35
others,2,1080.0,2,50.0,219
Electronics City Phase 1,3,1490.0,3,84.0,72
Sarjapur  Road,3,1600.0,3,86.0,185
others,2,1160.0,2,55.0,219
Sarjapur  Road,3,2100.0,3,125.0,185
Vittasandra,2,1404.0,2,69.3,212
Banashankari Stage III,3,1305.0,2,58.7,29
others,2,1200.0,2,65.0,219
Harlur,3,1460.0,3,73.0,85
Gottigere,2,967.0,2,45.0,77
Mysore Road,2,1020.0,2,48.95,158
Jigani,2,1020.0,2,40.0,106
others,2,1180.0,2,42.0,219
Nehru Nagar,2,961.0,2,38.0,166
Kanakapura,3,1419.0,3,75.0,119
others,1,416.0,1,18.5,219
HSR Layout,3,1430.0,2,65.0,83
others,2,1260.0,2,45.0,219
others,3,1630.0,3,85.0,219
Sarjapur  Road,3,1249.0,3,44.71,185
Kalena Agrahara,3,1450.0,2,85.0,114
Raja Rajeshwari Nagar,2,1133.0,2,49.07,176
Vidyaranyapura,2,1200.0,2,55.0,208
Thanisandra,2,1075.0,2,45.8,199
Raja Rajeshwari Nagar,2,1090.0,2,42.0,176
R.T. Nagar,4,1500.0,4,70.0,174
Whitefield,3,1790.0,3,100.0,213
Kanakapura,1,711.0,1,36.0,119
Whitefield,3,1720.0,3,100.0,213
others,3,1400.0,3,60.0,219
Kundalahalli,2,1030.0,2,49.0,143
others,3,1375.0,3,70.0,219
Hegde Nagar,2,1050.0,1,56.0,88
Bellandur,2,1000.0,2,50.0,41
others,1,469.0,1,25.0,219
GM Palaya,3,1820.0,2,86.0,74
Singasandra,3,1440.0,2,65.0,191
others,6,3600.0,4,160.0,219
Mahadevpura,2,1225.0,2,48.0,149
Chikkalasandra,2,875.0,2,52.8,56
Jalahalli East,1,750.0,1,40.0,105
Haralur Road,2,1194.0,2,47.0,84
Hennur Road,3,1500.0,2,62.0,90
others,2,1160.0,2,52.2,219
Sarjapur,2,1128.0,2,60.0,184
Sarjapur  Road,2,1210.0,2,58.0,185
Kanakpura Road,3,1100.0,2,58.0,120
Bommasandra,3,1200.0,3,46.0,47
others,3,1641.0,3,66.0,219
Horamavu Agara,2,1200.0,2,45.0,92
Raja Rajeshwari Nagar,2,1260.0,2,67.39,176
Mahadevpura,3,1720.0,3,78.0,149
Yelahanka,2,1132.5,2,48.13,215
Yelahanka,2,1210.0,2,45.98,215
Bisuvanahalli,3,1075.0,2,45.0,45
others,3,2072.0,3,108.0,219
others,3,1200.0,2,70.0,219
others,3,1350.0,3,77.0,219
Kodichikkanahalli,3,1190.0,2,57.0,131
Marathahalli,2,1019.0,2,49.85,153
Whitefield,2,1140.0,2,56.0,213
Kaggadasapura,3,1515.0,3,83.3,111
Hoodi,4,2118.0,4,111.0,91
Bannerghatta Road,4,1380.0,3,58.0,35
Varthur Road,2,1083.0,2,61.75,207
others,3,2300.0,3,120.0,219
others,2,1240.0,2,60.0,219
Abbigere,2,985.0,2,40.39,11
Tindlu,3,1500.0,2,87.0,202
others,2,950.0,2,44.0,219
Kothanur,3,1580.0,3,76.0,139
others,2,1045.0,2,45.0,219
Hebbal,2,1337.0,2,82.0,86
Begur Road,3,1500.0,2,54.0,40
Whitefield,3,1640.0,4,91.0,213
others,3,1570.0,3,62.0,219
Gubbalala,3,1470.0,2,82.0,79
Hulimavu,3,1823.0,3,100.0,99
Electronic City,2,1094.0,2,42.0,70
Budigere,2,1153.0,2,57.0,50
others,3,1325.0,3,57.0,219
others,2,1202.0,2,48.0,219
Haralur Road,2,1202.0,2,53.0,84
others,2,1200.0,2,62.5,219
Kaval Byrasandra,2,1020.0,2,52.0,126
Sarjapur,2,1185.0,2,47.0,184
Ramagondanahalli,2,1235.0,2,52.04,179
Kengeri Satellite Town,3,1415.0,2,66.0,129
Whitefield,2,805.0,2,35.0,213
others,1,425.0,1,20.03,219
Whitefield,2,1155.0,2,59.95,213
others,2,1100.0,2,48.0,219
Mahadevpura,2,1150.0,2,52.0,149
Whitefield,3,2280.0,4,126.0,213
Jakkur,2,1279.0,2,77.0,103
Electronic City Phase II,4,2225.0,4,98.88,71
Thanisandra,2,1185.0,2,43.51,199
others,3,1750.0,3,85.0,219
Kudlu,2,1152.0,2,53.5,140
Varthur Road,4,2760.0,4,155.0,207
5th Phase JP Nagar,2,1070.0,2,39.0,5
Uttarahalli,2,1101.0,2,45.0,205
Yeshwanthpur,1,667.0,1,36.85,218
Electronic City,2,1070.0,2,55.0,70
Old Airport Road,3,1875.0,2,110.0,168
Marathahalli,2,1215.0,2,67.0,153
Vishwapriya Layout,2,820.0,2,30.0,211
Banashankari Stage VI,2,1177.5,2,59.935,31
Battarahalli,3,1779.0,3,89.61,38
others,2,1105.0,2,58.0,219
others,1,1576.3768483699162,2,93.0,219
Whitefield,3,1650.0,3,60.0,213
Kammasandra,2,674.0,2,33.0,118
HSR Layout,3,1475.0,3,75.0,83
Gottigere,3,1618.0,3,82.5,77
Koramangala,2,1120.0,2,65.0,137
Bannerghatta Road,3,1556.0,2,59.13,35
Bannerghatta Road,2,1179.0,2,66.02,35
Kaggadasapura,2,1275.0,2,52.0,111
Kathriguppe,3,1400.0,2,77.0,125
Gottigere,2,1222.0,2,63.0,77
Electronic City,2,940.0,2,41.0,70
Thanisandra,2,1185.0,2,42.6,199
Begur Road,3,1615.0,3,59.76,40
Haralur Road,2,1056.0,2,61.0,84
7th Phase JP Nagar,2,1100.0,2,46.0,7
Arekere,2,920.0,2,40.0,21
others,3,1602.0,2,75.0,219
Padmanabhanagar,2,1176.0,2,62.0,170
Kasavanhalli,3,1717.0,3,99.0,123
Bhoganhalli,4,2119.0,4,111.0,43
Vittasandra,2,1246.0,2,67.3,212
Anandapura,2,1141.0,2,42.79,16
Yelahanka New Town,1,650.0,1,33.0,216
others,3,1566.0,3,83.3,219
others,3,1780.0,3,84.83,219
7th Phase JP Nagar,2,918.0,2,50.49,7
Panathur,3,1695.0,3,90.0,172
Yelahanka,3,1705.0,3,95.0,215
Kalyan nagar,3,1375.0,3,75.0,115
Kanakpura Road,1,525.0,1,30.0,120
Whitefield,2,1447.0,2,83.0,213
others,2,1022.0,2,40.0,219
Hebbal,2,1000.0,2,45.0,86
Electronic City,2,1128.0,2,68.75,70
Kanakpura Road,2,1180.0,2,57.0,120
Kanakpura Road,2,1339.0,2,75.0,120
Yelachenahalli,3,1400.0,2,55.0,214
7th Phase JP Nagar,2,1040.0,2,39.52,7
Kadugodi,2,1198.0,2,58.0,110
Bannerghatta Road,2,1122.5,2,58.935,35
Mallasandra,3,1665.0,3,86.58,150
Marathahalli,3,2489.0,3,94.0,153
Brookefield,2,1142.0,2,70.0,49
Kothannur,3,1853.0,3,82.0,138
Kasturi Nagar,2,1567.0,2,92.0,124
Electronics City Phase 1,2,1175.0,2,51.47,72
Subramanyapura,2,1200.0,2,52.0,195
Kodichikkanahalli,2,995.0,2,41.0,131
Magadi Road,2,884.0,2,41.1,148
Yeshwanthpur,2,1170.0,2,57.0,218
KR Puram,2,1225.0,2,46.55,108
Electronic City,2,1342.0,2,73.3,70
Uttarahalli,2,1345.0,2,67.0,205
Kodigehaali,3,1320.0,3,65.0,132
Raja Rajeshwari Nagar,2,1140.0,2,49.39,176
Battarahalli,2,1300.0,2,50.0,38
Hosa Road,3,1652.0,3,85.0,95
Arekere,3,1740.0,2,95.0,21
Electronic City,3,1360.0,2,71.0,70
Hosur Road,3,1145.0,2,60.0,98
